user_id,disagree,total
1,1,4
2,7,61
3,0,5
4,1,10
5,6,184
6,40,798
7,25,541
8,0,7
9,12,112
10,4,49
11,2,6
12,4,91
13,1,36
14,1,9
15,0,51
16,0,31
17,53,800
18,0,30
19,0,4
20,39,615
21,32,573
22,4,161
23,3,80
24,11,196
25,33,580
26,22,405
27,3,59
28,15,162
29,25,612
30,25,439
31,45,798
32,49,798
33,1,17
34,34,491
35,23,284
36,0,7
37,1,12
38,33,502
39,0,4
40,48,724
41,36,511
42,34,576
43,1,22
44,4,57
45,13,152
46,1,16
47,0,22
48,11,124
49,0,4
50,10,173
51,0,4
52,17,256
53,37,735
54,1,7
55,0,4
56,9,189
57,1,17
58,0,4
59,8,118
60,6,115
61,0,25
62,5,111
63,11,84
64,4,80
65,35,554
66,14,294
67,27,404
68,11,141
69,0,4
70,10,114
71,22,312
72,28,750
73,10,137
74,19,302
75,55,800
76,4,58
77,9,113
78,50,800
79,21,314
80,3,45
81,19,304
