seed,count,less_count
103,200,115
103,300,180
103,400,238
103,500,327
103,600,350
103,700,440
103,800,469
103,900,492
103,1000,575
103,1500,841
103,2000,1126
103,2500,1279
103,3000,1584
103,3500,1850
103,4000,2149
103,4500,2345
103,5000,2545
103,5500,2800
103,6000,3031
103,6500,3357
103,7000,3618
103,7500,3806
103,8000,4125
103,8500,4290
103,9000,4603
103,9500,4809
103,10000,5049
103,10500,5305
103,11000,5469
103,11500,5779
103,12000,6089
103,12500,6311
103,13000,6598
103,13500,6812
103,14000,7174
103,14500,7325
103,15000,7650
103,15500,7962
103,16000,8056
103,16500,8388
103,17000,8529
103,17500,8781
103,18000,8999
103,18500,9317
103,19000,9640
103,19500,9754
103,19900,10075
117,200,116
117,300,158
117,400,192
117,500,242
117,600,302
117,700,342
117,800,392
117,900,434
117,1000,489
117,1500,771
117,2000,1002
117,2500,1266
117,3000,1454
117,3500,1745
117,4000,1938
117,4500,2193
117,5000,2460
117,5500,2671
117,6000,3008
117,6500,3207
117,7000,3451
117,7500,3722
117,8000,3991
117,8500,4219
117,9000,4516
117,9500,4821
117,10000,5027
117,10500,5297
117,11000,5503
117,11500,5907
117,12000,6044
117,12500,6324
117,13000,6571
117,13500,6801
117,14000,7128
117,14500,7482
117,15000,7643
117,15500,7875
117,16000,8180
117,16500,8435
117,17000,8604
117,17500,9004
117,18000,9178
117,18500,9209
117,19000,9612
117,19500,9920
117,19900,10116
236,200,104
236,300,148
236,400,185
236,500,276
236,600,305
236,700,345
236,800,395
236,900,464
236,1000,477
236,1500,799
236,2000,1007
236,2500,1214
236,3000,1544
236,3500,1771
236,4000,2087
236,4500,2314
236,5000,2525
236,5500,2793
236,6000,3026
236,6500,3233
236,7000,3499
236,7500,3788
236,8000,3987
236,8500,4155
236,9000,4528
236,9500,4848
236,10000,5025
236,10500,5285
236,11000,5585
236,11500,5882
236,12000,6122
236,12500,6275
236,13000,6618
236,13500,6874
236,14000,7045
236,14500,7363
236,15000,7491
236,15500,7822
236,16000,7984
236,16500,8202
236,17000,8600
236,17500,8746
236,18000,9256
236,18500,9444
236,19000,9663
236,19500,9690
236,19900,9984
763,200,151
763,300,186
763,400,230
763,500,288
763,600,345
763,700,383
763,800,405
763,900,481
763,1000,527
763,1500,719
763,2000,962
763,2500,1258
763,3000,1507
763,3500,1812
763,4000,1953
763,4500,2248
