seed,count,less_count
103,200,231
103,300,364
103,400,483
103,500,629
103,600,716
103,700,857
103,800,924
103,900,1023
103,1000,1148
103,1500,1626
103,2000,2193
103,2500,2548
103,3000,3141
103,3500,3714
103,4000,4207
103,4500,4642
103,5000,5110
103,5500,5613
103,6000,6032
103,6500,6645
103,7000,7252
103,7500,7689
103,8000,8173
103,8500,8639
103,9000,9216
103,9500,9687
103,10000,10186
103,10500,10560
103,11000,11061
103,11500,11615
103,12000,12271
103,12500,12791
103,13000,13368
103,13500,13655
103,14000,14350
103,14500,14780
103,15000,15402
103,15500,15883
103,16000,16196
103,16500,16729
103,17000,17204
103,17500,17784
103,18000,18240
103,18500,18659
103,19000,19201
103,19500,19749
103,19900,20218
117,200,209
117,300,317
117,400,396
117,500,501
117,600,611
117,700,725
117,800,790
117,900,873
117,1000,1024
117,1500,1502
117,2000,1993
117,2500,2470
117,3000,2958
117,3500,3490
117,4000,3921
117,4500,4431
117,5000,5019
117,5500,5469
117,6000,6092
117,6500,6501
117,7000,7055
117,7500,7582
117,8000,8107
117,8500,8590
117,9000,9161
117,9500,9678
117,10000,10033
117,10500,10616
117,11000,11000
117,11500,11663
117,12000,12142
117,12500,12591
117,13000,13211
117,13500,13631
117,14000,14144
117,14500,14777
117,15000,15157
117,15500,15769
117,16000,16272
117,16500,16883
117,17000,17225
117,17500,17926
117,18000,18299
117,18500,18510
117,19000,19211
117,19500,19785
117,19900,20209
236,200,204
236,300,309
236,400,386
236,500,535
236,600,602
236,700,684
236,800,787
236,900,910
236,1000,967
236,1500,1513
236,2000,1991
236,2500,2479
236,3000,3109
236,3500,3593
236,4000,4145
236,4500,4553
236,5000,5081
236,5500,5573
236,6000,6101
236,6500,6488
236,7000,6947
236,7500,7613
236,8000,8101
236,8500,8499
236,9000,9193
236,9500,9700
236,10000,10174
236,10500,10586
236,11000,11134
236,11500,11819
236,12000,12250
236,12500,12707
236,13000,13285
236,13500,13794
236,14000,14132
236,14500,14747
236,15000,15147
236,15500,15832
236,16000,16161
236,16500,16669
236,17000,17310
236,17500,17744
236,18000,18421
236,18500,18914
236,19000,19296
236,19500,19727
236,19900,20055
763,200,278
763,300,338
763,400,433
763,500,544
763,600,662
763,700,756
763,800,798
763,900,958
763,1000,1021
763,1500,1471
763,2000,1937
763,2500,2465
763,3000,3047
763,3500,3580
763,4000,3961
763,4500,4566
763,5000,5175
763,5500,5591
763,6000,6000
763,6500,6618
763,7000,7071
763,7500,7694
763,8000,8161
763,8500,8791
